tahun,provinsi,listrik_gwh
2011,ACEH,1579.77
2012,ACEH,1755.06
2013,ACEH,1815.04
2014,ACEH,1965.55
2015,ACEH,2119.0
2017,ACEH,2409.11
2018,ACEH,2587.71
2019,ACEH,2781.5
2020,ACEH,2937.99
2021,ACEH,3074.47
2022,ACEH,3154.01
2023,ACEH,3458.3
2024,ACEH,3696.14
2011,BALI,3223.94
2012,BALI,3546.6
2013,BALI,3914.32
2014,BALI,4335.03
2015,BALI,4594.18
2017,BALI,5069.64
2018,BALI,5247.16
2019,BALI,5706.73
2020,BALI,4946.86
2021,BALI,4708.02
2022,BALI,5470.51
2023,BALI,6354.53
2024,BALI,7301.36
2011,BANTEN,7955.54
2012,BANTEN,8457.8
2013,BANTEN,9750.37
2014,BANTEN,8562.97
2015,BANTEN,8575.1
2017,BANTEN,22557.53
2018,BANTEN,23736.3
2019,BANTEN,24646.11
2020,BANTEN,22268.71
2021,BANTEN,23830.91
2022,BANTEN,26705.67
2023,BANTEN,26971.4
2024,BANTEN,28396.46
2011,BENGKULU,493.95
2012,BENGKULU,566.95
2013,BENGKULU,641.52
2014,BENGKULU,729.64
2015,BENGKULU,785.43
2017,BENGKULU,852.84
2018,BENGKULU,907.45
2019,BENGKULU,955.47
2020,BENGKULU,1013.5
2021,BENGKULU,1058.61
2022,BENGKULU,1087.22
2023,BENGKULU,1155.97
2024,BENGKULU,1230.11
2011,DI YOGYAKARTA,1869.77
2012,DI YOGYAKARTA,2043.75
2013,DI YOGYAKARTA,2205.79
2014,DI YOGYAKARTA,2369.6
2015,DI YOGYAKARTA,2484.16
2017,DI YOGYAKARTA,2724.49
2018,DI YOGYAKARTA,2856.95
2019,DI YOGYAKARTA,2856.95
2020,DI YOGYAKARTA,3012.45
2021,DI YOGYAKARTA,3108.38
2022,DI YOGYAKARTA,3326.61
2023,DI YOGYAKARTA,3564.23
2024,DI YOGYAKARTA,3891.18
2011,DKI JAKARTA,35061.38
2012,DKI JAKARTA,38168.75
2013,DKI JAKARTA,39937.28
2014,DKI JAKARTA,41269.03
2015,DKI JAKARTA,41328.6
2017,DKI JAKARTA,31643.13
2018,DKI JAKARTA,32779.19
2019,DKI JAKARTA,34107.88
2020,DKI JAKARTA,32166.72
2021,DKI JAKARTA,32709.3
2022,DKI JAKARTA,34578.29
2023,DKI JAKARTA,36992.35
2024,DKI JAKARTA,38198.38
2011,GORONTALO,236.52
2012,GORONTALO,293.13
2013,GORONTALO,328.4
2014,GORONTALO,366.08
2015,GORONTALO,398.82
2017,GORONTALO,460.13
2018,GORONTALO,503.49
2019,GORONTALO,543.84
2020,GORONTALO,601.58
2021,GORONTALO,638.71
2022,GORONTALO,674.05
2023,GORONTALO,742.22
2024,GORONTALO,770.93
2011,INDONESIA,158694.89
2012,INDONESIA,174341.92
2013,INDONESIA,188342.41
2014,INDONESIA,199028.08
2015,INDONESIA,204279.97
2017,INDONESIA,226014.06
2018,INDONESIA,239012.04
2019,INDONESIA,247653.33
2020,INDONESIA,241405.61
