tahun,provinsi,population
2017,ACEH,5189500
2018,ACEH,5281300
2019,ACEH,5371500
2020,ACEH,5274900
2021,ACEH,5333700
2022,ACEH,5407900
2023,ACEH,5482500
2024,ACEH,5554800
2017,BALI,4246500
2018,BALI,4292200
2019,BALI,4336900
2020,BALI,4317400
2021,BALI,4362700
2022,BALI,4415100
2023,BALI,4404300
2024,BALI,4433300
2017,BANTEN,12448200
2018,BANTEN,12689700
2019,BANTEN,12927300
2020,BANTEN,11904600
2021,BANTEN,12061500
2022,BANTEN,12252000
2023,BANTEN,12307700
2024,BANTEN,12431400
2017,BENGKULU,1934300
2018,BENGKULU,1963300
2019,BENGKULU,1991800
2020,BENGKULU,2010700
2021,BENGKULU,2032900
2022,BENGKULU,2060100
2023,BENGKULU,2086000
2024,BENGKULU,2112200
2017,DI YOGYAKARTA,3762200
2018,DI YOGYAKARTA,3802900
2019,DI YOGYAKARTA,3842900
2020,DI YOGYAKARTA,3668700
2021,DI YOGYAKARTA,3712900
2022,DI YOGYAKARTA,3761900
2023,DI YOGYAKARTA,3736500
2024,DI YOGYAKARTA,3759500
2017,DKI JAKARTA,10374200
2018,DKI JAKARTA,10467600
2019,DKI JAKARTA,10557800
2020,DKI JAKARTA,10562100
2021,DKI JAKARTA,10609700
2022,DKI JAKARTA,10680000
2023,DKI JAKARTA,10672100
2024,DKI JAKARTA,10684900
2017,GORONTALO,1168200
2018,GORONTALO,1185500
2019,GORONTALO,1202600
2020,GORONTALO,1171700
2021,GORONTALO,1181000
2022,GORONTALO,1192700
2023,GORONTALO,1213200
2024,GORONTALO,1227800
2017,INDONESIA,261890900
2018,INDONESIA,265015300
2019,INDONESIA,268074600
2020,INDONESIA,270203900
2021,INDONESIA,272682500
2022,INDONESIA,275773800
2023,INDONESIA,278696200
2024,INDONESIA,281603800
2017,JAMBI,3515000
2018,JAMBI,3570300
2019,JAMBI,3624600
2020,JAMBI,3548200
2021,JAMBI,3585100
2022,JAMBI,3631100
2023,JAMBI,3679200
2024,JAMBI,3724300
2017,JAWA BARAT,48037600
2018,JAWA BARAT,48683700
2019,JAWA BARAT,49316700
2020,JAWA BARAT,48274200
2021,JAWA BARAT,48782400
2022,JAWA BARAT,49405800
2023,JAWA BARAT,49860300
2024,JAWA BARAT,50345200
2017,JAWA TENGAH,34257900
2018,JAWA TENGAH,34490800
2019,JAWA TENGAH,34718200
2020,JAWA TENGAH,36516000
2021,JAWA TENGAH,36742500
2022,JAWA TENGAH,37032400
2023,JAWA TENGAH,37541000
2024,JAWA TENGAH,37892300
2017,JAWA TIMUR,39293000
2018,JAWA TIMUR,39500900
2019,JAWA TIMUR,39698600
2020,JAWA TIMUR,40665700
2021,JAWA TIMUR,40878800
2022,JAWA TIMUR,41150000
2023,JAWA TIMUR,41527900
2024,JAWA TIMUR,41814500
2017,KALIMANTAN BARAT,4932500
2018,KALIMANTAN BARAT,5001700
2019,KALIMANTAN BARAT,5069100
2020,KALIMANTAN BARAT,5414400
2021,KALIMANTAN BARAT,5470800
2022,KALIMANTAN BARAT,5541400
2023,KALIMANTAN BARAT,5623300
2024,KALIMANTAN BARAT,5695500
2017,KALIMANTAN SELATAN,4119800
2018,KALIMANTAN SELATAN,4182700
2019,KALIMANTAN SELATAN,4244100
2020,KALIMANTAN SELATAN,4073600
2021,KALIMANTAN SELATAN,4122600
2022,KALIMANTAN SELATAN,4182100
2023,KALIMANTAN SELATAN,4222300
2024,KALIMANTAN SELATAN,4273400
2017,KALIMANTAN TENGAH,2605300
2018,KALIMANTAN TENGAH,2660200
2019,KALIMANTAN TENGAH,2714900
2020,KALIMANTAN TENGAH,2670000
2021,KALIMANTAN TENGAH,2702200
2022,KALIMANTAN TENGAH,2741100
2023,KALIMANTAN TENGAH,2773700
2024,KALIMANTAN TENGAH,2809700
2017,KALIMANTAN TIMUR,3575400
2018,KALIMANTAN TIMUR,3648800
2019,KALIMANTAN TIMUR,3721400
2020,KALIMANTAN TIMUR,3766000
2021,KALIMANTAN TIMUR,3808200
2022,KALIMANTAN TIMUR,3859800
2023,KALIMANTAN TIMUR,3909700
2024,KALIMANTAN TIMUR,4045900
2017,KALIMANTAN UTARA,691100
2018,KALIMANTAN UTARA,716400
2019,KALIMANTAN UTARA,742200
2020,KALIMANTAN UTARA,701800
2021,KALIMANTAN UTARA,713600
2022,KALIMANTAN UTARA,727800
2023,KALIMANTAN UTARA,730000
2024,KALIMANTAN UTARA,739800
2017,KEP. BANGKA BELITUNG,1430900
2018,KEP. BANGKA BELITUNG,1459900
2019,KEP. BANGKA BELITUNG,1488800
2020,KEP. BANGKA BELITUNG,1455700
2021,KEP. BANGKA BELITUNG,1473200
2022,KEP. BANGKA BELITUNG,1494600
2023,KEP. BANGKA BELITUNG,1511900
2024,KEP. BANGKA BELITUNG,1531500
2017,KEP. RIAU,2082700
2018,KEP. RIAU,2136500
2019,KEP. RIAU,2189700
2020,KEP. RIAU,2064600
2021,KEP. RIAU,2118200
2022,KEP. RIAU,2179800
2023,KEP. RIAU,2152600
2024,KEP. RIAU,2183300
2017,LAMPUNG,8289600
2018,LAMPUNG,8370500
2019,LAMPUNG,8447700
2020,LAMPUNG,9007800
2021,LAMPUNG,9081800
2022,LAMPUNG,9176600
2023,LAMPUNG,9314000
2024,LAMPUNG,9419600
2017,MALUKU,1744700
2018,MALUKU,1773800
2019,MALUKU,1802900
2020,MALUKU,1848900
2021,MALUKU,1862600
2022,MALUKU,1881700
2023,MALUKU,1920500
2024,MALUKU,1945600
2017,MALUKU UTARA,1209300
2018,MALUKU UTARA,1232600
2019,MALUKU UTARA,1255800
2020,MALUKU UTARA,1282900
2021,MALUKU UTARA,1299200
2022,MALUKU UTARA,1319300
2023,MALUKU UTARA,1337100
2024,MALUKU UTARA,1355600
2017,NUSA TENGGARA BARAT,4955600
2018,NUSA TENGGARA BARAT,5013700
2019,NUSA TENGGARA BARAT,5070400
2020,NUSA TENGGARA BARAT,5320100
2021,NUSA TENGGARA BARAT,5390000
2022,NUSA TENGGARA BARAT,5473700
2023,NUSA TENGGARA BARAT,5560300
2024,NUSA TENGGARA BARAT,5646000
2017,NUSA TENGGARA TIMUR,5287300
2018,NUSA TENGGARA TIMUR,5371500
2019,NUSA TENGGARA TIMUR,5456200
2020,NUSA TENGGARA TIMUR,5325600
2021,NUSA TENGGARA TIMUR,5387700
2022,NUSA TENGGARA TIMUR,5466300
2023,NUSA TENGGARA TIMUR,5569100
2024,NUSA TENGGARA TIMUR,5656000
2017,PAPUA,3265200
2018,PAPUA,3322500
2019,PAPUA,3379300
2020,PAPUA,4303700
2021,PAPUA,4355400
2022,PAPUA,4418600
2023,PAPUA,4482700
2024,PAPUA,4542600
